,Bridge5,class
2022-07-03 16:35:37.584103+00:00,0.072,True
2022-07-03 17:06:51.901125+00:00,0.069,True
2022-07-03 17:38:06.615680+00:00,0.066,True
2022-07-03 18:09:51.173610+00:00,0.064,True
2022-07-03 18:41:05.654024+00:00,0.067,True
2022-07-03 19:12:19.579107+00:00,0.063,True
2022-07-03 19:43:33.904691+00:00,0.059,True
2022-07-03 20:14:48.143482+00:00,0.055,True
2022-07-03 20:46:02.299070+00:00,0.054,True
2022-07-03 21:17:16.938940+00:00,0.05,True
2022-07-03 21:48:47.020433+00:00,0.055,True
2022-07-03 22:20:01.742340+00:00,0.042,True
2022-07-03 22:51:15.745947+00:00,0.055,True
2022-07-03 23:22:29.977586+00:00,0.055,True
2022-07-03 23:53:44.461066+00:00,0.057,True
2022-07-04 00:24:58.618584+00:00,0.055,True
2022-07-04 00:56:11.576402+00:00,0.058,True
2022-07-04 01:27:25.898922+00:00,0.058,True
2022-07-04 01:58:39.740308+00:00,0.059,True
2022-07-04 02:29:54.219717+00:00,0.055,True
2022-07-04 03:02:58.063994+00:00,0.058,True
2022-07-04 03:34:12.221593+00:00,0.059,True
2022-07-04 04:05:42.059235+00:00,0.061,True
2022-07-04 04:36:56.455462+00:00,0.069,True
2022-07-04 05:08:10.704122+00:00,0.072,True
2022-07-04 05:40:50.304211+00:00,0.074,True
2022-07-04 06:12:04.224423+00:00,0.073,True
2022-07-04 06:43:18.938920+00:00,0.079,True
2022-07-04 07:14:33.577291+00:00,0.081,True
2022-07-04 07:45:47.505423+00:00,0.08,True
2022-07-04 08:17:01.898138+00:00,0.079,True
2022-07-04 08:48:16.545186+00:00,0.082,True
2022-07-04 09:19:30.704323+00:00,0.08,True
2022-07-04 09:50:45.494997+00:00,0.082,True
2022-07-04 10:21:59.737675+00:00,0.08,True
2022-07-04 10:53:14.219971+00:00,0.078,True
2022-07-04 11:24:28.543702+00:00,0.081,True
2022-07-04 11:55:43.021100+00:00,0.08,True
2022-07-04 12:26:57.664042+00:00,0.079,True
2022-07-04 12:58:11.980700+00:00,0.072,True
2022-07-04 13:29:25.908672+00:00,0.068,True
2022-07-04 14:00:40.538698+00:00,0.072,True
2022-07-04 14:31:54.621142+00:00,0.069,True
2022-07-04 15:03:08.858567+00:00,0.067,True
2022-07-04 15:34:23.016286+00:00,0.064,True
2022-07-04 16:05:37.581802+00:00,0.066,True
2022-07-04 16:37:07.262442+00:00,0.066,True
